Player Name,Team,Runs,Matches,Inn,No,HS,AVG,BF,SR,100s,50s,4s,6s
"Prabhsimran Singh
PBKS",PBSK,334,14,14,0,71,23.86,213,156.8,0,2,34,20
"Jake Fraser - McGurk
DC",DC,330,9,9,0,84,36.67,141,234.04,0,4,32,28
"Abishek Porel
DC",DC,327,14,12,2,65,32.7,205,159.51,0,2,36,13
"Dinesh Karthik
RCB",RCB,326,15,13,4,83,36.22,174,187.35,0,2,27,22
"Ishan Kishan
MI",MI,320,14,14,0,69,22.86,215,148.83,0,1,35,16
"Daryl Mitchell
CSK",CSK,318,13,13,2,63,28.91,223,142.6,0,2,27,10
"Nitish Kumar Reddy
SRH",SRH,303,13,11,2,76*,33.67,212,142.92,0,2,15,21
"Jonny Bairstow
PBKS",PBSK,298,11,11,1,108*,29.8,195,152.82,1,0,33,14
"Sam Curran
PBKS",PBSK,270,13,12,2,63*,27,219,123.28,0,2,24,6
"Ravindra Jadeja
CSK",CSK,267,14,11,5,57*,44.5,187,142.78,0,1,22,8
"Cameron Green
RCB",RCB,255,13,12,4,46,31.88,178,143.25,0,0,22,10
"Quinton De Kock
LSG",LSG,250,11,11,0,81,22.73,186,134.4,0,3,29,9
"Ajinkya Rahane
CSK",CSK,242,13,12,0,45,20.17,196,123.46,0,0,23,7
"Tim David
MI",MI,241,13,11,3,45*,30.13,152,158.55,0,0,14,15
"Ayush Badoni
LSG",LSG,235,14,12,4,55*,29.38,171,137.42,0,2,22,5
"Axar Patel
DC",DC,235,14,12,4,66,29.38,179,131.28,0,2,19,10
"Will Jacks
RCB",RCB,230,8,8,1,100*,32.86,131,175.57,1,1,16,18
"Andre Russell
KKR",KKR,222,15,9,2,64*,31.71,120,185,0,1,20,16
"Rachin Ravindra
CSK",CSK,222,10,10,0,61,22.2,138,160.86,0,1,22,12
"Aiden Markram
SRH",SRH,220,11,11,2,50,24.44,177,124.29,0,1,18,4
